Tempo,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
160.0,-185.88,73.58,-18.76,25.36,11.64,8.44,-0.05,5.14,-4.49,2.59,-6.27,0.13,-2.18,3.03,-5.6,-4.0,-7.04,-3.72,-10.75,0.87,0.16,0.22,0.26,0.28,0.21,0.34,0.43,0.49,0.21,0.27,0.54,0.39
112.94,-234.16,81.36,-18.17,24.08,-12.25,-3.27,-5.55,-11.44,-8.41,3.27,-20.77,0.24,-13.96,2.39,-9.24,-3.71,0.81,-0.54,-9.76,1.14,0.33,0.11,0.29,0.22,0.29,0.37,0.28,0.3,0.24,0.25,0.17,0.29
137.14,-324.5,89.29,12.27,24.06,5.5,15.28,-0.37,1.65,-1.76,2.62,-6.36,3.2,-4.21,0.72,-5.21,-2.97,-7.21,-0.48,-4.2,2.54,0.19,0.11,0.13,0.2,0.55,0.37,0.23,0.48,0.31,0.32,0.23,0.25
120.0,-215.09,95.75,23.3,32.88,15.23,12.91,2.02,11.71,-3.61,2.4,-5.41,-0.25,-2.3,-2.85,-10.35,-0.63,-4.53,-0.86,-7.42,-3.97,0.26,0.3,0.27,0.23,0.23,0.35,0.53,0.29,0.25,0.38,0.57,0.31
128.0,-271.02,118.28,0.45,20.92,-0.13,2.81,1.1,-3.64,-5.45,-4.52,-14.89,-1.59,-6.71,-1.52,-4.91,5.65,-1.41,-0.38,-2.28,-1.92,0.37,0.12,0.08,0.04,0.11,0.1,0.11,0.45,0.22,0.38,0.4,0.3
120.0,-285.86,76.06,27.81,35.24,23.38,19.76,1.63,12.67,-0.34,2.05,-8.94,1.48,-2.28,-0.54,-10.02,-4.57,-6.73,2.16,-1.43,4.86,0.35,0.43,0.27,0.26,0.38,0.58,0.46,0.4,0.36,0.27,0.41,0.29
120.0,-275.49,82.74,25.22,48.09,26.35,22.23,12.73,19.92,11.0,5.42,0.08,10.04,5.17,-2.59,-4.92,2.05,-4.72,-5.92,-9.87,1.8,0.28,0.18,0.16,0.17,0.19,0.23,0.32,0.54,0.72,0.74,0.55,0.47
112.94,-203.18,83.49,-9.36,14.22,-12.87,4.1,-15.2,-6.71,-16.4,-2.42,-7.04,-1.84,-2.96,4.48,-0.64,4.82,-3.65,-1.08,-8.22,-1.84,0.15,0.08,0.06,0.03,0.08,0.03,0.04,0.09,0.45,0.46,0.34,0.41
96.0,-98.41,79.83,-12.03,19.91,-11.53,4.58,1.45,11.71,-3.46,11.51,1.67,5.42,-0.55,3.24,-5.74,-1.62,-5.95,-1.62,-4.76,6.19,0.48,0.21,0.2,0.3,0.56,0.38,0.17,0.23,0.18,0.19,0.33,0.33
96.0,-313.61,134.65,4.49,12.58,-3.08,17.82,-6.9,-3.03,-3.76,-2.22,-4.9,2.0,-4.82,-8.5,-11.24,-3.21,-8.89,1.16,2.38,5.6,0.61,0.24,0.21,0.17,0.27,0.2,0.12,0.4,0.36,0.22,0.15,0.27
192.0,-264.18,65.07,-31.87,44.41,5.74,4.04,-8.8,9.12,-8.94,14.02,-5.59,-0.2,-4.06,1.83,-7.54,2.97,-7.44,4.59,-6.87,-4.74,0.08,0.2,0.19,0.33,0.27,0.16,0.61,0.36,0.3,0.37,0.39,0.27
68.57,-303.24,80.47,43.78,17.35,9.92,12.14,-5.0,-3.64,-6.06,-9.43,-9.23,-7.5,-1.56,-4.15,-13.4,0.29,-10.4,-3.75,-10.78,-3.59,0.27,0.04,0.03,0.05,0.26,0.33,0.09,0.06,0.06,0.11,0.36,0.55
192.0,-353.9,156.2,-39.47,18.68,32.03,-32.21,0.37,15.18,-27.24,-2.16,4.05,-14.81,-8.24,3.87,-11.88,-1.89,4.94,-12.27,0.78,9.27,0.26,0.16,0.21,0.54,0.3,0.13,0.17,0.27,0.25,0.34,0.36,0.43
137.14,-214.83,88.02,-14.3,36.74,-14.07,-1.38,4.02,-3.7,-10.25,12.62,-8.67,1.92,-6.39,-1.94,0.84,3.11,-9.27,0.23,-1.97,2.47,0.43,0.17,0.07,0.41,0.38,0.18,0.12,0.08,0.25,0.18,0.27,0.47
96.0,-358.45,86.37,-3.52,25.6,-6.58,6.69,-8.93,-4.91,-16.9,-8.18,-7.55,3.91,-11.73,2.37,-2.8,-5.6,-8.51,-0.65,-5.03,0.26,0.17,0.07,0.08,0.09,0.26,0.18,0.17,0.15,0.28,0.17,0.08,0.49
106.67,-71.56,50.48,1.63,28.0,-10.58,9.59,0.89,-1.22,10.78,-4.62,-3.7,5.79,-1.48,0.51,-5.27,1.19,-7.09,-1.61,-0.41,1.53,0.59,0.29,0.44,0.57,0.46,0.41,0.47,0.62,0.6,0.64,0.71,0.79
147.69,-350.21,61.76,37.68,37.0,15.79,15.67,10.68,3.42,-1.21,0.52,-9.31,-5.76,2.68,-3.68,-7.33,-1.27,-9.69,-2.7,-8.81,-4.71,0.1,0.19,0.2,0.11,0.15,0.19,0.22,0.21,0.35,0.68,0.61,0.19
128.0,-222.45,115.98,32.22,30.83,1.52,14.77,-1.13,6.84,1.54,8.91,1.89,4.64,4.39,0.91,-5.08,3.16,0.36,2.62,-5.29,-0.22,0.5,0.34,0.37,0.36,0.31,0.3,0.38,0.43,0.43,0.51,0.51,0.88
120.0,-277.72,101.25,-1.92,27.97,2.86,-3.07,-5.26,3.92,-3.45,4.55,-4.0,1.59,-8.91,-3.46,-2.47,-1.89,-3.13,-3.5,-3.53,4.71,0.35,0.4,0.59,0.43,0.15,0.18,0.11,0.25,0.15,0.22,0.54,0.49
8.24,-388.73,211.53,-61.74,-2.21,48.29,-22.42,-5.79,18.36,-21.55,-9.74,12.3,-11.74,-8.18,2.82,-13.1,-4.44,6.52,-8.27,-2.68,7.94,0.22,0.5,0.51,0.21,0.42,0.23,0.19,0.16,0.15,0.53,0.35,0.18
147.69,-124.09,88.33,-0.06,11.46,-1.49,14.53,-7.18,7.44,-5.84,6.37,-12.1,-0.57,-3.8,-0.54,-6.91,-4.77,-5.24,-0.74,0.83,-0.96,0.14,0.18,0.16,0.23,0.11,0.34,0.28,0.1,0.22,0.35,0.58,0.48
76.8,-168.7,90.08,-3.89,40.07,11.86,7.93,2.88,7.06,-0.99,5.24,-1.6,5.63,-1.07,2.78,-5.03,2.78,-2.84,1.13,-2.29,4.22,0.33,0.35,0.43,0.53,0.55,0.55,0.58,0.56,0.39,0.31,0.42,0.5
106.67,-295.43,130.04,-27.64,15.52,26.78,31.41,19.42,15.45,9.48,8.15,6.93,7.9,5.62,6.64,6.65,3.13,-2.03,-1.5,-3.44,-2.84,0.27,0.08,0.09,0.43,0.61,0.53,0.3,0.11,0.19,0.09,0.02,0.08
174.55,-221.81,50.27,5.38,50.79,12.94,23.58,6.93,11.18,12.51,13.1,11.26,12.23,6.84,10.2,8.19,6.64,0.32,2.79,1.33,6.34,0.47,0.39,0.45,0.62,0.64,0.5,0.32,0.23,0.24,0.38,0.52,0.62
160.0,-198.92,90.07,-0.2,23.9,-0.09,10.12,-1.9,4.25,-6.77,-6.48,-5.85,2.15,-10.7,-5.09,-6.23,-1.55,1.09,6.69,3.59,7.34,0.35,0.51,0.63,0.61,0.79,0.77,0.35,0.27,0.21,0.2,0.32,0.35
128.0,-241.24,99.2,-3.44,9.83,11.96,4.39,-0.23,6.59,-3.42,-3.51,-9.02,-5.33,-10.3,-4.96,-9.25,-4.32,-4.37,-2.77,-4.27,-1.27,0.27,0.3,0.26,0.25,0.29,0.29,0.45,0.39,0.6,0.63,0.53,0.62
192.0,-92.62,56.68,-11.52,27.08,1.01,14.98,2.47,5.83,3.6,3.13,-1.0,1.5,-5.08,1.84,-4.89,-0.36,0.42,5.88,3.58,3.38,0.36,0.38,0.67,0.46,0.27,0.28,0.44,0.48,0.33,0.42,0.47,0.57
128.0,-148.59,70.71,-0.54,16.88,-4.12,-3.07,-10.16,-2.34,-5.72,1.41,-6.4,3.27,-6.48,4.97,-5.77,1.59,-3.9,0.33,0.28,5.68,0.35,0.2,0.19,0.3,0.18,0.32,0.22,0.27,0.24,0.41,0.61,0.44
87.27,-267.87,81.97,12.28,25.58,2.21,14.8,-6.77,9.58,-1.45,0.33,-4.59,-2.2,-0.14,-1.55,-2.29,4.48,0.63,3.98,-5.23,5.32,0.18,0.33,0.7,0.28,0.19,0.21,0.4,0.32,0.32,0.46,0.28,0.18
137.14,-161.9,78.59,39.02,29.86,9.11,9.6,7.86,11.86,2.12,1.78,-1.82,3.03,0.11,7.97,4.29,6.67,0.02,3.78,-5.52,2.86,0.66,0.3,0.36,0.4,0.27,0.29,0.37,0.39,0.37,0.45,0.42,0.63
174.55,-170.03,32.92,-1.23,23.65,-0.13,9.36,4.43,8.34,1.0,9.61,-2.14,4.19,-0.32,3.26,2.68,2.17,-3.31,-1.39,-2.82,4.64,0.34,0.27,0.3,0.22,0.29,0.44,0.35,0.43,0.38,0.47,0.58,0.52
160.0,-119.48,71.87,25.15,34.76,-18.49,-4.22,4.7,5.8,-3.03,6.07,-4.76,1.24,-6.1,-2.75,-2.81,5.99,-2.81,5.42,-1.81,2.49,0.35,0.17,0.26,0.16,0.31,0.49,0.45,0.51,0.33,0.33,0.39,0.46
83.48,-146.0,68.83,10.72,14.48,-2.89,13.66,9.69,6.84,-3.77,-0.13,-5.74,7.67,-1.19,-2.85,-3.4,-0.24,-0.58,10.52,-1.2,-2.65,0.48,0.75,0.21,0.11,0.13,0.1,0.18,0.2,0.45,0.17,0.13,0.33
120.0,-381.48,67.83,-36.93,-11.08,2.42,3.86,-2.16,0.47,-5.56,1.39,0.18,4.72,-5.25,2.73,1.34,3.38,-5.8,3.25,-4.47,1.74,0.26,0.43,0.24,0.34,0.74,0.32,0.16,0.17,0.45,0.39,0.29,0.53
87.27,-115.8,108.59,9.81,34.24,-1.53,4.41,-7.38,-3.16,-4.46,7.53,-3.14,7.01,-10.93,-3.33,-5.18,3.36,0.27,0.2,-2.56,1.18,0.38,0.43,0.45,0.43,0.42,0.37,0.62,0.44,0.41,0.53,0.59,0.46
128.0,-192.84,70.96,-3.98,24.19,16.53,20.57,-2.18,10.73,-0.73,5.97,-1.18,1.35,0.24,2.24,-4.19,1.55,-2.67,-4.75,-0.78,-0.37,0.48,0.28,0.28,0.42,0.39,0.34,0.4,0.25,0.21,0.18,0.42,0.64
66.21,-206.78,93.11,-14.16,27.49,-0.94,8.45,-4.34,0.87,-9.01,8.15,-2.84,4.23,-2.78,5.89,-5.11,6.58,-1.58,1.51,0.32,0.04,0.42,0.39,0.17,0.09,0.12,0.56,0.32,0.19,0.48,0.26,0.54,0.4
128.0,-137.95,75.8,12.97,13.82,4.63,9.53,8.71,15.01,-0.11,7.72,4.45,7.85,3.51,5.73,2.52,4.84,2.79,2.38,-0.95,4.11,0.7,0.7,0.62,0.66,0.6,0.7,0.74,0.62,0.53,0.61,0.72,0.67
128.0,-164.35,61.77,8.82,17.92,3.13,19.05,6.78,11.55,-0.13,9.31,-1.7,6.7,1.97,9.18,3.21,6.49,-1.36,4.04,-1.53,4.58,0.6,0.4,0.35,0.36,0.38,0.46,0.31,0.23,0.16,0.28,0.24,0.48
147.69,-189.35,37.73,9.36,30.01,5.36,18.66,12.9,16.29,1.89,16.0,1.91,6.6,2.33,3.87,-6.41,7.5,3.01,7.29,0.74,5.23,0.64,0.72,0.57,0.4,0.38,0.39,0.48,0.47,0.58,0.6,0.57,0.59
174.55,-261.74,89.97,6.88,15.95,4.89,19.77,3.07,5.47,-3.31,7.65,2.27,1.01,-0.86,8.8,1.03,1.13,0.02,5.57,0.2,3.33,0.42,0.4,0.28,0.27,0.16,0.17,0.34,0.28,0.32,0.35,0.5,0.69
120.0,-69.09,75.96,15.34,7.85,-3.78,5.77,-5.71,1.6,-9.87,4.78,-0.14,6.33,-4.26,3.91,-0.21,7.75,-3.06,-0.93,-3.52,8.66,0.3,0.25,0.26,0.34,0.54,0.36,0.5,0.19,0.23,0.2,0.35,0.52
80.0,-380.76,110.49,-9.7,30.34,9.93,15.32,-0.34,10.54,1.53,5.95,1.46,3.34,-3.98,3.54,-3.65,0.09,-0.54,4.36,-4.21,4.72,0.8,0.44,0.32,0.29,0.12,0.16,0.27,0.46,0.26,0.29,0.48,0.65
137.14,-158.3,47.93,18.33,17.51,28.38,1.43,11.27,1.76,3.81,10.98,5.64,13.33,-4.23,7.08,-0.21,8.71,5.99,7.05,-0.11,8.92,0.23,0.34,0.43,0.59,0.47,0.37,0.48,0.49,0.34,0.35,0.44,0.37
174.55,-132.58,114.73,37.71,30.02,26.28,11.09,-2.59,9.43,1.29,4.44,3.84,3.22,-11.92,0.31,-3.14,10.62,3.41,6.25,-4.94,5.98,0.47,0.5,0.58,0.67,0.63,0.54,0.37,0.37,0.24,0.25,0.39,0.52
80.0,-348.28,154.11,-26.47,-12.91,-8.89,2.2,3.06,-4.51,-7.62,1.45,4.51,8.27,-6.12,-14.58,-15.29,-10.2,-6.73,5.42,3.75,-0.61,0.43,0.26,0.5,0.35,0.11,0.58,0.62,0.09,0.04,0.05,0.1,0.24
174.55,-233.54,67.56,4.13,8.55,12.84,11.51,-1.57,-5.4,-11.63,-1.23,1.4,-1.13,-8.53,-1.54,-9.36,0.5,3.62,0.97,-10.28,0.49,0.41,0.39,0.17,0.4,0.21,0.52,0.29,0.15,0.38,0.37,0.52,0.46
83.48,-527.19,86.74,-1.3,11.95,-7.0,4.36,-5.01,-0.07,-5.62,-2.08,-8.83,4.79,4.37,6.45,-3.52,2.36,-11.36,-13.24,-14.08,4.24,0.39,0.1,0.08,0.09,0.19,0.2,0.18,0.09,0.14,0.52,0.19,0.55
174.55,-128.48,111.95,16.49,34.66,3.64,9.51,5.09,11.24,-4.67,1.55,4.05,-0.03,-6.08,6.42,-7.9,5.05,-1.11,0.75,-7.87,-1.83,0.52,0.25,0.12,0.21,0.11,0.05,0.09,0.19,0.27,0.3,0.54,0.58
120.0,-238.73,30.16,10.47,18.27,-2.07,10.94,3.03,10.71,3.67,8.3,0.39,5.21,1.12,6.76,-0.4,0.99,-5.55,8.03,8.55,3.29,0.17,0.12,0.12,0.11,0.26,0.13,0.32,0.3,0.14,0.1,0.14,0.36
120.0,-171.05,78.53,30.36,-1.31,-7.12,8.17,1.06,6.44,-6.29,10.77,7.91,15.92,-1.3,3.47,-6.69,-3.01,0.3,4.32,0.3,4.55,0.71,0.38,0.43,0.31,0.48,0.65,0.34,0.25,0.28,0.6,0.29,0.3
160.0,-137.14,57.57,19.51,20.57,3.02,9.65,1.48,5.29,1.18,3.43,0.26,8.72,6.59,8.8,2.93,2.16,-3.58,6.62,1.0,2.47,0.83,0.36,0.24,0.22,0.29,0.3,0.36,0.55,0.48,0.64,0.61,0.59
120.0,-200.54,74.19,20.1,10.48,8.74,6.3,-3.55,7.48,-1.87,7.58,-4.37,3.24,-2.71,6.07,-3.13,4.0,-0.9,-1.33,-4.73,1.74,0.48,0.31,0.18,0.21,0.27,0.16,0.18,0.27,0.58,0.39,0.35,0.62
174.55,-496.9,194.38,44.5,2.76,13.73,9.37,7.34,8.81,2.03,-4.35,-5.31,-2.94,-0.42,-0.03,1.34,1.35,-3.47,-4.73,-2.11,-4.76,0.45,0.22,0.07,0.04,0.09,0.38,0.18,0.13,0.4,0.33,0.29,0.45
128.0,-244.11,110.73,28.94,20.63,10.24,24.09,7.38,0.96,-10.24,3.58,8.84,9.02,-2.98,-4.16,-7.44,1.26,-3.79,4.87,3.13,5.33,0.42,0.33,0.57,0.4,0.22,0.18,0.19,0.1,0.12,0.44,0.47,0.34
71.11,-93.82,64.78,-1.89,24.75,-1.28,11.99,-16.31,2.76,-4.56,8.59,8.34,3.72,-0.75,-3.67,-8.36,-7.38,3.49,2.35,-6.57,6.4,0.45,0.52,0.75,0.38,0.24,0.44,0.4,0.34,0.23,0.34,0.48,0.62
106.67,-166.31,110.12,3.1,23.32,13.02,16.64,8.3,8.5,2.42,6.02,3.24,8.03,7.89,12.16,2.85,5.97,-4.12,2.05,-0.71,3.35,0.34,0.56,0.65,0.83,0.68,0.44,0.52,0.4,0.31,0.29,0.35,0.59
91.43,-267.95,55.06,20.72,16.6,11.05,16.78,-0.91,10.05,-6.19,4.61,3.98,5.4,-0.52,-0.07,-3.19,4.82,-6.34,5.23,-6.01,0.55,0.31,0.39,0.41,0.4,0.57,0.49,0.63,0.6,0.52,0.34,0.28,0.28
174.55,-185.78,47.86,37.3,26.4,11.73,11.42,10.34,9.12,-5.07,12.41,1.77,5.16,-2.21,1.04,-6.32,3.45,-3.45,4.37,0.43,-0.09,0.43,0.18,0.12,0.13,0.1,0.18,0.28,0.39,0.52,0.43,0.5,0.6
128.0,-153.32,84.0,-14.07,23.35,-2.16,11.12,-2.77,7.84,0.06,8.89,-0.75,7.41,1.22,7.79,-4.27,3.55,-5.58,1.65,-2.24,1.6,0.36,0.16,0.42,0.24,0.34,0.29,0.44,0.82,0.5,0.5,0.28,0.81
174.55,-145.18,79.21,14.12,32.14,4.62,4.61,-6.26,-3.75,-16.73,-2.79,-6.24,6.27,-4.71,0.15,-0.64,-0.01,-5.72,4.64,-4.24,0.27,0.48,0.26,0.42,0.16,0.38,0.47,0.22,0.27,0.14,0.24,0.26,0.36
112.94,-184.05,73.33,4.06,9.38,4.78,3.93,-8.1,2.07,-9.96,-0.29,-11.55,-1.19,-6.15,1.72,-4.79,4.21,-1.68,0.99,-6.8,1.11,0.48,0.57,0.38,0.24,0.23,0.21,0.28,0.43,0.28,0.22,0.29,0.44
101.05,-216.66,105.39,-34.75,20.93,14.39,28.88,-8.4,2.1,4.13,0.51,6.9,-2.35,-6.53,12.89,7.41,3.87,8.23,2.95,-5.69,2.06,0.21,0.28,0.52,0.36,0.46,0.35,0.62,0.29,0.23,0.38,0.3,0.25
120.0,-311.63,145.85,5.56,29.45,4.25,4.35,-2.23,6.38,-0.74,3.11,-4.03,5.83,-0.93,0.07,6.77,9.79,-0.33,14.06,5.1,2.84,0.2,0.14,0.39,0.6,0.41,0.4,0.47,0.36,0.38,0.38,0.5,0.41
147.69,-483.13,126.34,22.48,9.68,-5.51,-11.76,-16.48,-16.78,-23.07,-21.69,-22.92,-26.85,-18.43,-11.49,-7.88,-15.68,-16.75,-12.11,-7.77,1.01,0.23,0.08,0.25,0.27,0.15,0.42,0.15,0.06,0.12,0.51,0.25,0.24
106.67,-172.75,49.92,8.43,39.1,25.37,8.16,-14.85,-4.33,-1.06,8.1,1.39,2.64,-6.85,-5.2,-12.43,1.14,-2.32,-3.4,-14.11,-2.2,0.3,0.22,0.29,0.12,0.14,0.27,0.27,0.56,0.36,0.43,0.3,0.38
128.0,-487.01,86.75,-25.22,6.79,-13.16,-5.31,-10.41,3.47,-9.59,-10.57,-10.03,-10.69,-19.13,-3.41,-11.64,-9.58,-11.84,0.96,-5.52,-4.76,0.38,0.13,0.24,0.39,0.39,0.22,0.22,0.49,0.14,0.23,0.21,0.16
128.0,-389.96,122.79,12.71,9.59,11.01,4.13,7.45,0.91,1.77,9.52,10.1,6.56,5.2,5.76,4.72,2.66,0.16,-1.63,0.27,2.65,0.4,0.41,0.61,0.53,0.28,0.33,0.44,0.5,0.46,0.43,0.48,0.51
80.0,-255.33,114.4,6.83,25.33,-1.58,9.51,3.16,9.03,2.74,3.76,1.15,3.32,-4.53,-0.34,-3.48,2.32,-1.28,0.27,-0.93,3.71,0.57,0.32,0.37,0.29,0.31,0.58,0.53,0.34,0.22,0.28,0.24,0.32
101.05,-207.77,126.47,-10.77,23.95,4.23,0.25,-5.11,0.36,-6.74,1.24,-8.27,-2.18,-2.45,5.11,-8.34,-2.76,0.51,1.04,-5.83,-3.64,0.57,0.26,0.69,0.65,0.21,0.16,0.25,0.46,0.31,0.41,0.45,0.54
112.94,-182.15,36.56,23.22,33.84,13.27,11.66,4.48,14.91,1.39,3.59,-5.1,3.45,-4.84,-0.24,-8.0,-4.1,-12.89,-4.94,-7.74,-0.89,0.23,0.18,0.18,0.34,0.83,0.72,0.35,0.38,0.61,0.94,0.78,0.38
101.05,-166.04,82.91,25.6,22.2,9.84,14.82,3.79,13.31,0.47,11.49,5.87,11.29,-1.25,1.9,-3.56,6.22,-5.79,-2.04,-7.11,3.72,0.77,0.62,0.6,0.68,0.51,0.5,0.34,0.39,0.39,0.59,0.49,0.5
120.0,-133.16,19.52,-23.15,29.64,3.18,23.45,2.18,17.5,-0.52,14.58,0.19,3.08,10.15,1.07,3.78,5.31,4.96,9.89,1.51,5.91,0.7,0.41,0.41,0.49,0.6,0.41,0.27,0.35,0.3,0.5,0.44,0.59
120.0,-130.28,21.34,12.88,5.69,-5.01,7.41,-9.26,2.8,-6.62,1.45,-7.26,0.83,-2.77,5.37,-3.07,2.41,-1.6,3.4,-3.08,3.06,0.33,0.34,0.4,0.4,0.48,0.54,0.52,0.54,0.46,0.45,0.56,0.38
120.0,-276.83,32.05,25.96,18.85,26.6,18.25,3.67,14.52,4.43,10.64,0.16,10.8,-0.51,5.5,0.52,5.62,1.49,6.9,2.65,7.04,0.56,0.32,0.25,0.22,0.17,0.25,0.37,0.47,0.6,0.82,0.92,0.82
128.0,-220.6,93.2,-11.14,46.42,-15.23,15.94,-17.58,1.77,-13.17,3.45,-8.11,0.35,-11.04,-6.9,-8.02,-5.6,-9.55,-2.82,-1.1,3.18,0.33,0.28,0.61,0.35,0.25,0.28,0.23,0.33,0.25,0.35,0.36,0.44
112.94,-221.73,119.96,-23.15,-4.5,-16.55,-11.1,-18.14,-8.29,-13.18,-7.16,-15.34,-10.53,-13.25,-4.79,-14.46,-8.43,-11.41,-9.17,-6.22,3.3,0.19,0.2,0.66,0.18,0.14,0.24,0.3,0.34,0.15,0.37,0.62,0.4
137.14,-182.23,62.31,14.83,23.81,10.8,13.12,0.47,6.42,-0.07,6.0,0.31,5.84,1.62,6.32,-3.55,5.41,-0.29,1.15,-1.53,4.78,0.24,0.37,0.26,0.36,0.38,0.46,0.52,0.32,0.4,0.35,0.29,0.23
96.0,-151.66,90.99,-8.22,40.02,5.75,16.91,5.53,18.9,-1.0,4.71,2.14,7.12,-1.26,2.13,0.43,-2.69,-4.13,9.28,-6.07,3.69,0.8,0.52,0.53,0.36,0.33,0.44,0.4,0.46,0.39,0.32,0.41,0.77
87.27,-50.33,69.8,32.72,13.79,4.97,13.73,0.34,7.83,-2.76,8.14,6.56,5.01,-4.19,4.28,-7.5,2.9,-1.03,6.98,-7.23,-2.07,0.65,0.37,0.27,0.28,0.35,0.76,0.46,0.62,0.24,0.22,0.18,0.28
137.14,-288.75,134.53,9.88,11.38,-0.57,2.19,0.13,4.69,0.85,3.79,-9.43,1.56,1.42,5.45,0.25,4.6,-3.0,-13.63,-10.32,1.72,0.15,0.23,0.09,0.14,0.11,0.02,0.03,0.13,0.46,0.48,0.2,0.26
101.05,-39.46,48.49,27.9,34.09,6.51,19.86,1.29,13.05,2.38,10.94,-6.86,9.28,-1.76,8.22,0.34,5.82,-1.99,4.34,-8.02,3.29,0.5,0.49,0.43,0.52,0.48,0.53,0.63,0.72,0.82,0.67,0.64,0.55
128.0,-184.52,49.9,35.31,19.89,8.5,14.82,3.6,9.47,1.74,5.58,2.24,11.88,-0.23,5.14,-1.23,5.01,-1.79,-0.48,-4.23,7.29,0.32,0.28,0.35,0.49,0.54,0.45,0.43,0.31,0.27,0.27,0.37,0.44
80.0,-413.78,133.64,31.63,23.54,8.95,0.11,11.68,16.99,5.61,5.1,-3.68,-4.6,1.29,3.97,-1.04,-4.77,-8.38,-2.09,0.82,2.44,0.27,0.14,0.21,0.2,0.21,0.47,0.54,0.46,0.33,0.18,0.21,0.24
112.94,-191.96,50.71,39.73,55.21,24.4,22.1,12.4,13.23,7.27,7.77,3.29,5.78,-0.93,4.12,-3.13,1.64,-3.54,-0.93,-5.81,0.66,0.43,0.55,0.49,0.53,0.74,0.73,0.6,0.66,0.66,0.67,0.51,0.35
120.0,-171.45,58.07,10.72,15.07,3.05,9.13,3.67,10.74,5.08,7.38,-5.77,2.6,-4.0,3.77,2.4,3.11,-3.96,1.08,-7.15,-0.7,0.69,0.53,0.43,0.37,0.37,0.36,0.38,0.44,0.46,0.58,0.73,0.71
137.14,-89.57,69.08,19.64,28.09,7.36,20.08,12.42,9.22,0.73,12.88,1.09,8.02,-0.34,7.33,-0.6,8.49,-0.28,2.17,-3.13,6.68,0.32,0.33,0.62,0.45,0.41,0.77,0.4,0.43,0.53,0.41,0.44,0.4
137.14,-135.47,57.95,11.91,24.74,9.55,13.01,-4.16,0.4,-7.8,-0.25,-7.37,-1.21,-8.37,0.75,-5.6,-0.33,-2.46,7.89,-0.74,4.26,0.31,0.29,0.17,0.24,0.31,0.4,0.38,0.34,0.4,0.59,0.82,0.55
128.0,-95.47,77.25,-28.84,42.9,-16.14,-13.39,2.8,-7.38,-8.82,-2.11,-10.05,0.97,-9.67,-4.13,-5.98,-1.75,-10.55,-3.37,-8.84,-4.16,0.56,0.67,0.39,0.23,0.52,0.4,0.3,0.36,0.24,0.47,0.33,0.31
128.0,-329.27,166.84,-27.37,0.39,-4.91,-13.63,-26.09,-19.99,-20.97,-2.74,-7.21,8.67,2.1,2.55,-2.94,-3.34,-6.6,3.23,-2.69,3.57,0.55,0.56,0.66,0.38,0.19,0.34,0.32,0.65,0.48,0.22,0.43,0.32
96.0,-208.67,50.63,25.16,27.15,-9.25,-5.58,-10.06,6.07,3.75,4.35,-1.55,7.27,-4.65,5.9,-5.57,1.06,3.18,-5.42,-18.95,0.89,0.09,0.18,0.58,0.28,0.18,0.13,0.07,0.07,0.12,0.28,0.46,0.35
71.11,-421.03,162.75,23.26,4.8,18.63,7.9,4.58,8.7,8.46,4.98,0.4,-7.18,-10.53,-4.23,-5.75,-12.4,-5.9,-2.39,-10.24,-8.23,0.65,0.3,0.22,0.06,0.02,0.02,0.06,0.1,0.08,0.22,0.25,0.56
112.94,-219.92,164.29,-22.4,23.46,-8.43,4.11,-11.48,-3.09,-2.59,-1.94,-6.68,-3.43,-16.1,-10.46,-5.28,1.08,-4.37,-8.13,-12.24,2.63,0.21,0.41,0.18,0.2,0.64,0.19,0.09,0.15,0.69,0.4,0.14,0.25
192.0,-364.33,82.1,16.4,15.38,-2.05,10.16,-7.93,-8.99,-16.16,-6.11,-9.59,-3.68,-13.08,-2.73,-3.3,-1.5,-5.78,-0.53,-3.96,2.29,0.49,0.15,0.25,0.21,0.12,0.3,0.21,0.46,0.25,0.07,0.14,0.31
64.0,-230.85,21.47,32.5,18.04,8.26,12.41,0.31,15.66,11.63,11.37,0.19,10.15,3.07,3.98,-14.72,-0.17,7.28,14.26,5.01,7.5,0.35,0.29,0.31,0.29,0.42,0.36,0.45,0.34,0.37,0.32,0.38,0.55
112.94,-359.98,184.16,-13.37,23.78,5.69,3.7,2.72,-0.4,5.15,-1.46,-9.54,-2.87,1.57,3.36,3.59,0.83,4.6,-2.65,-6.07,-1.29,0.16,0.19,0.26,0.07,0.03,0.06,0.27,0.11,0.11,0.53,0.25,0.31
66.21,-127.14,87.84,4.42,9.43,-0.04,3.45,-4.87,6.12,2.43,6.69,-0.3,4.17,-3.76,-0.56,-2.37,5.52,-0.25,2.39,-5.11,3.86,0.37,0.27,0.13,0.22,0.34,0.28,0.13,0.37,0.3,0.67,0.57,0.38
68.57,-230.79,66.25,12.89,0.12,-17.75,-5.75,-11.81,-1.9,-9.12,5.89,-0.72,2.89,-5.74,-0.92,0.82,10.47,4.88,13.88,4.15,4.38,0.32,0.25,0.07,0.09,0.52,0.17,0.11,0.09,0.24,0.21,0.23,0.42
